time,open,high,low,close,volume
2026-02-25 18:35:00+00:00,632.02,633.32,632.01,632.77,377.827
2026-02-25 18:40:00+00:00,632.77,633.73,632.47,633.12,311.322
2026-02-25 18:45:00+00:00,633.12,633.43,632.25,632.47,566.431
2026-02-25 18:50:00+00:00,632.47,633.5,632.37,632.6,472.424
2026-02-25 18:55:00+00:00,632.61,632.97,632.52,632.67,200.275
2026-02-25 19:00:00+00:00,632.67,633.29,630.78,631.19,631.243
2026-02-25 19:05:00+00:00,631.2,631.52,629.54,629.64,1316.281
2026-02-25 19:10:00+00:00,629.63,630.44,628.39,630.32,1008.645
2026-02-25 19:15:00+00:00,630.31,631.0,630.31,630.9,338.02
2026-02-25 19:20:00+00:00,630.91,632.27,630.9,631.78,578.962
2026-02-25 19:25:00+00:00,631.79,631.85,630.34,630.64,452.853
2026-02-25 19:30:00+00:00,630.65,630.78,629.67,630.16,1047.459
2026-02-25 19:35:00+00:00,630.17,631.2,630.17,631.02,707.408
2026-02-25 19:40:00+00:00,631.01,631.52,630.42,631.1,590.609
2026-02-25 19:45:00+00:00,631.1,632.56,630.8,632.56,284.796
2026-02-25 19:50:00+00:00,632.56,632.85,630.87,631.78,2883.44
2026-02-25 19:55:00+00:00,631.78,632.41,631.67,632.21,449.163
2026-02-25 20:00:00+00:00,632.21,633.2,631.76,632.05,500.58
2026-02-25 20:05:00+00:00,632.06,632.77,632.0,632.08,282.659
2026-02-25 20:10:00+00:00,632.07,632.11,630.32,630.64,663.059
2026-02-25 20:15:00+00:00,630.63,631.58,630.62,630.78,227.731
2026-02-25 20:20:00+00:00,630.77,631.33,629.96,630.37,334.058
2026-02-25 20:25:00+00:00,630.36,630.81,630.05,630.1,252.244
2026-02-25 20:30:00+00:00,630.1,632.36,629.9,631.94,679.402
2026-02-25 20:35:00+00:00,631.94,631.94,631.36,631.79,735.42
2026-02-25 20:40:00+00:00,631.79,632.02,631.38,631.66,532.164
2026-02-25 20:45:00+00:00,631.65,632.82,631.56,632.08,500.77
2026-02-25 20:50:00+00:00,632.07,632.85,631.63,631.95,480.212
2026-02-25 20:55:00+00:00,631.94,632.44,631.5,631.7,314.683
2026-02-25 21:00:00+00:00,631.7,632.29,631.24,631.41,178.392
2026-02-25 21:05:00+00:00,631.41,632.88,631.41,632.34,213.932
2026-02-25 21:10:00+00:00,632.33,632.33,630.46,630.71,301.548
2026-02-25 21:15:00+00:00,630.7,631.31,630.36,630.84,260.846
2026-02-25 21:20:00+00:00,630.84,631.29,630.61,630.82,156.393
2026-02-25 21:25:00+00:00,630.83,630.95,629.92,629.93,375.567
2026-02-25 21:30:00+00:00,629.92,632.96,629.61,632.96,1863.821
2026-02-25 21:35:00+00:00,632.96,640.55,632.79,636.7,7705.178
2026-02-25 21:40:00+00:00,636.71,637.67,635.2,635.56,1144.45
2026-02-25 21:45:00+00:00,635.56,636.01,633.9,635.82,1161.761
2026-02-25 21:50:00+00:00,635.83,636.48,635.37,635.78,494.655
2026-02-25 21:55:00+00:00,635.77,635.96,633.84,634.94,354.306
2026-02-25 22:00:00+00:00,634.94,636.68,634.93,636.05,941.627
2026-02-25 22:05:00+00:00,636.05,636.05,635.25,635.72,576.81
2026-02-25 22:10:00+00:00,635.72,637.0,635.71,636.2,1386.857
2026-02-25 22:15:00+00:00,636.21,636.27,634.72,634.89,270.841
2026-02-25 22:20:00+00:00,634.89,634.89,633.96,634.29,815.892
2026-02-25 22:25:00+00:00,634.29,634.36,633.31,633.84,642.852
2026-02-25 22:30:00+00:00,633.84,634.0,633.08,633.66,594.105
2026-02-25 22:35:00+00:00,633.65,633.81,631.76,631.94,1171.38
2026-02-25 22:40:00+00:00,631.93,631.93,629.88,629.92,1383.488
2026-02-25 22:45:00+00:00,629.92,631.71,629.92,631.25,438.46
2026-02-25 22:50:00+00:00,631.25,631.25,628.04,628.54,1459.951
2026-02-25 22:55:00+00:00,628.53,631.9,628.48,631.89,772.393
2026-02-25 23:00:00+00:00,631.89,632.86,629.96,632.83,563.86
2026-02-25 23:05:00+00:00,632.84,634.94,632.6,634.0,810.237
2026-02-25 23:10:00+00:00,634.0,634.19,633.26,633.78,583.084
2026-02-25 23:15:00+00:00,633.78,633.78,630.95,631.01,525.221
2026-02-25 23:20:00+00:00,631.02,631.52,630.39,630.6,589.152
2026-02-25 23:25:00+00:00,630.59,631.23,630.35,630.36,321.775
2026-02-25 23:30:00+00:00,630.35,630.54,628.35,628.93,1191.823
2026-02-25 23:35:00+00:00,628.92,630.44,627.0,627.76,1276.142
2026-02-25 23:40:00+00:00,627.76,627.78,624.33,625.49,1851.266
2026-02-25 23:45:00+00:00,625.5,626.31,625.11,625.47,688.378
2026-02-25 23:50:00+00:00,625.48,628.96,625.47,628.9,902.243
2026-02-25 23:55:00+00:00,628.89,629.62,628.8,629.42,481.582
2026-02-26 00:00:00+00:00,629.42,629.54,627.97,628.26,409.758
2026-02-26 00:05:00+00:00,628.26,631.45,627.72,631.42,1310.593
2026-02-26 00:10:00+00:00,631.42,631.66,630.53,630.93,376.215
2026-02-26 00:15:00+00:00,630.93,633.33,630.87,631.86,725.046
2026-02-26 00:20:00+00:00,631.87,633.83,631.71,633.15,684.59
2026-02-26 00:25:00+00:00,633.16,633.39,631.81,631.81,503.249
2026-02-26 00:30:00+00:00,631.8,633.28,631.63,633.0,617.802
2026-02-26 00:35:00+00:00,633.0,633.27,628.25,628.65,1690.297
2026-02-26 00:40:00+00:00,628.65,630.32,627.54,630.04,451.553
2026-02-26 00:45:00+00:00,630.05,630.27,629.37,629.61,351.911
